Pid,Context,Qid,Question,Answer,Answers
61.0,"Obviously, the tree must be kept balanced in order to minimize the number of comparisons, since that depends on the height of the tree. For a balanced tree that is O(log2 n). If the tree is not kept balanced, it will be more than that, and potentially O(n). Treesort can be difficult to compare with other sorting algorithms, since it returns a tree, rather than an array, as the sorted data structure. It should be chosen if it is desirable to have the items stored in a binary search tree anyway. This is usually the case if items are frequently deleted or inserted, since a binary search tree allows these operations to be implemented efficiently, with time complexity O(log2 n) per item. Moreover, as we have seen before, searching for items is also efficient, again with time complexity O(log2 n).",61.1,Why is it important to keep the tree balanced in Treesort?,"Keeping the tree balanced minimizes the number of comparisons needed for insertion and retrieval, maintaining a time complexity of O(log2 n).",
,,61.2,How does Treesort compare with other sorting algorithms?,"Treesort returns a tree instead of an array, making it difficult to directly compare with other sorting algorithms. It is suitable when frequent insertions, deletions, or searches are needed, as binary search trees offer efficient implementations for these operations.",
,,61.3,What is the time complexity for insertion and retrieval operations in a balanced binary search tree?,"In a balanced binary search tree, insertion and retrieval operations have a time complexity of O(log2 n) per item.",
62.0,"Since there are n items to insert into the tree, and each insertion has time complexity O(log2 n), Treesort has an overall average time complexity of O(nlog2 n). So, we already have one algorithm that achieves the theoretical best average case time complexity of O(nlog2 n). Note, however, that if the tree is not kept balanced while the items are being inserted, and the items are already sorted, the height of the tree and number of comparisons per insertion will be O(n), leading to a worst case time complexity of O(n 2 ), which is no better than the simpler array-based algorithms we have already considered.",62.1,What is the average time complexity of Treesort?,"The average time complexity of Treesort is O(nlog2 n), achieved through O(log2 n) time complexity for each of the n insertions into the balanced binary search tree.",
,,62.2,What happens if the binary search tree in Treesort is not kept balanced during insertion?,"Without balancing the binary search tree during insertion, if the items are already sorted, the height of the tree and number of comparisons per insertion become O(n), resulting in a worst-case time complexity of O(n^2).",
,,62.3,How does Treesort compare to other sorting algorithms in terms of average time complexity?,"Treesort achieves the theoretical best average-case time complexity of O(nlog2 n) among sorting algorithms. However, its performance can degrade to O(n^2) in the worst case if the tree is not balanced during insertion.",
63.0,"We now consider another way of implementing a selection sorting algorithm using a more efficient data structure we have already studied. The underlying idea here is that it would help if we could pre-arrange the data so that selecting the smallest/biggest entry becomes easier. For that, remember the idea of a priority queue discussed earlier. We can take the value of each item to be its priority and then queue the items accordingly. Then, if we remove the item with the highest priority at each step we can fill an array in order ÃÂÃÂÃÂÃÂfrom the rearÃÂÃÂÃÂÃÂ, starting with the biggest item",63.1,How can a priority queue be used in a selection sorting algorithm?,By treating each item's value as its priority and enqueueing them accordingly.,
,,63.2,What advantage does using a priority queue offer in selection sort?,It simplifies the selection of the smallest or largest entry during each step of the sorting process.,
,,63.3,How does the efficiency of selection sorting with a priority queue compare to traditional selection sort?,It potentially offers improved performance due to the efficient selection process facilitated by the priority queue.,
64.0,"To make use of binary heap trees, we first have to take the unsorted array and re-arrange it so that it satisfies the heap tree priority ordering. We have already studied the heapify algorithm which can do that with O(n) time complexity. Then we need to extract the sorted array from it. In the heap tree, the item with the highest priority, that is the largest item, is always in a[1]. In the sorted array, it should be in the last position a[n]. If we simply swap the two, we will have that item at the right position of the array, and also have begun the standard procedure of removing the root of the heap-tree, since a[n] is precisely the item that would be moved into the root position at the next step. Since a[n] now contains the correct item, we will never have to look at it again. Instead, we just take the items a[1],...,a[n-1] and bring them back into a heap-tree form using the bubble down procedure on the new root, which we know to have complexity O(log2 n).",64.1,How is a binary heap tree used in sorting?,By first rearranging the unsorted array to satisfy the heap tree priority ordering.,
,,64.2,What is the time complexity of the heapify algorithm used in sorting?,O(n).,
,,64.3,How is the sorted array extracted from the heap tree?,By swapping the root with the last element and then reorganizing the remaining elements into a heap-tree form.,
65.0,"The average and worst-case time complexities of the entire Heapsort algorithm are given by the sum of two complexity functions, first that of heapify rearranging the original unsorted array into a heap tree which is O(n), and then that of making the sorted array out of the heap tree which is O(nlog2 n) coming from the O(n) bubble-downs each of which has O(log2 n) complexity. Thus the overall average and worst-case complexities are both O(nlog2 n), and we now have a sorting algorithm that achieves the theoretical best worst-case time complexity. Using more sophisticated priority queues, such as Binomial or Fibonacci heaps, cannot improve on this because they have the same delete time complexity",65.1,What are the average and worst-case time complexities of the Heapsort algorithm?,Both O(nlog2 n).,
,,65.2,How is the overall time complexity of Heapsort calculated?,It's the sum of the complexities of heapify (O(n)) and making the sorted array from the heap tree (O(nlog2 n)).,
,,65.3,Why can't more sophisticated priority queues improve Heapsort's time complexity?,Because they have the same delete time complexity.,
66.0,"All the sorting algorithms considered so far work on the whole set of items together. Instead, divide and conquer algorithms recursively split the sorting problem into more manageable sub-problems. The idea is that it will usually be easier to sort many smaller collections of items than one big one, and sorting single items is trivial. So we repeatedly split the given collection into two smaller parts until we reach the ÃÂÃÂÃÂÃÂbase caseÃÂÃÂÃÂÃÂ of one-item collections, which require no effort to sort, and then merge them back together again.",66.1,How do divide and conquer sorting algorithms operate?,"They recursively split the sorting problem into smaller sub-problems until reaching one-item collections, then merge them back together.",
,,66.2,What is the rationale behind divide and conquer sorting algorithms?,"It's easier to sort many smaller collections of items than one big one, and sorting single items is trivial.",
,,66.3,What is the base case in divide and conquer sorting?,"One-item collections, which require no effort to sort.",
67.0,"Assuming we are working on an array a of size n with entries a[0],...,a[n-1], then the obvious approach is to simply split the set of indices. That is, we split the array at item n/2 and consider the two sub-arrays a[0],...,a[(n-1)/2] and a[(n+1)/2],...,a[n-1]. This method has the advantage that the splitting of the collection into two collections of equal (or nearly equal) size at each stage is easy. However, the two sorted arrays that result from each split have to be merged together carefully to maintain the ordering. This is the underlying idea for a sorting algorithm called mergesort.",67.1,What is the underlying idea of the mergesort sorting algorithm?,"Mergesort splits the array into two sub-arrays, sorts each recursively, then merges them back together.",
,,67.2,What advantage does the splitting approach of mergesort offer?,It allows for easy splitting of the collection into two roughly equal-sized sub-arrays at each stage.,
,,67.3,What is the challenge in mergesort?,The challenge lies in merging the two sorted sub-arrays back together while maintaining the overall ordering.,
68.0,"Another approach would be to split the array in such a way that, at each stage, all the items in the first collection are no bigger than all the items in the second collection. The splitting here is obviously more complex, but all we have to do to put the pieces back together again at each stage is to take the first sorted array followed by the second sorted array. This is the underlying idea for a sorting algorithm called Quicksort.",68.1,What is the underlying idea of the quicksort sorting algorithm?,"Quicksort splits the array based on a pivot, with elements smaller than the pivot placed to its left and larger elements to its right.",
,,68.2,How does quicksort differ from mergesort in terms of splitting the array?,"Quicksort splits the array based on a pivot value, aiming to partition it into two parts where one part has elements smaller than the pivot and the other has larger elements.",
,,68.3,What advantage does quicksort's splitting approach offer during the merging stage?,"Quicksort's splitting approach simplifies the merging stage, as the two sub-arrays are already in the correct order relative to each other after partitioning.",
69.0,"The general idea here is to repeatedly split (or partition) the given array in such a way that all the items in the first sub-array are smaller than all the items in the second sub-array, and then concatenate all the sub-arrays to give the sorted full array.",69.1,What is the main idea behind quicksort?,The main idea behind quicksort is to repeatedly partition the array into two sub-arrays based on a pivot element.,
,,69.2,How does quicksort achieve sorting?,Quicksort achieves sorting by recursively partitioning the array and sorting each sub-array.,
,,69.3,What is the key operation performed during each partitioning step in quicksort?,The key operation during partitioning is rearranging the elements so that all elements smaller than the pivot are on one side and all elements larger than the pivot are on the other side.,
70.0,"How to partition. The important question is how to perform this kind of splitting most efficiently. If the array is very simple, for example [4,3,7,8,1,6], then a good split would be to put all the items smaller than 5 into one part, giving [4,3,1], and all the items bigger than or equal to 5 into the other, that is [7,8,6]. Indeed, moving all items with a smaller key than some given value into one sub-array, and all entries with a bigger or equal key into the other sub-array is the standard Quicksort strategy. The value that defines the split is called the pivot. However, it is not obvious what is the best way to choose the pivot value.",70.1,What is the key step in partitioning for Quicksort?,The key step in partitioning for Quicksort is choosing a pivot value and rearranging the elements around it such that elements smaller than the pivot are on one side and elements larger than or equal to the pivot are on the other side.,
,,70.2,What is the challenge in choosing the pivot value?,"The challenge in choosing the pivot value is to select a value that results in a balanced partition, ensuring efficient sorting.",
,,70.3,How is the pivot value typically chosen in Quicksort?,"The pivot value is typically chosen as the median of three randomly selected elements from the array, or as the first, last, or middle element.",
71.0,"One situation that we absolutely have to avoid is splitting the array into an empty subarray and the whole array again. If we do this, the algorithm will not just perform badly, it will not even terminate. However, if the pivot is chosen to be an item in the array, and the pivot is kept in between and separate from both sub-arrays, then the sub-arrays being sorted at each recursion will always be at least one item shorter than the previous array, and the algorithm is guaranteed to terminate",71.1,What situation must be avoided when partitioning an array for Quicksort?,"Splitting the array into an empty subarray and the whole array again must be avoided, as it can cause the algorithm to not terminate.",
72.0,"Thus, it proves convenient to split the array at each stage into the sub-array of values smaller than or equal to some chosen pivot item, followed by that chosen pivot item, followed by the sub-array of values greater than or equal to the chosen pivot item. Moreover, to save space, we do not actually split the array into smaller arrays. Instead, we simply rearrange the whole array to reflect the splitting. We say that we partition the array, and the Quicksort algorithm is then applied to the sub-arrays of this partitioned array.",72.1,How is the array split during each stage of the Quicksort algorithm?,"The array is split into three parts: the sub-array of values smaller than or equal to a chosen pivot item, the pivot item itself, and the sub-array of values greater than or equal to the chosen pivot item.",
,,72.2,What term is used to describe the process of splitting the array in Quicksort?,"The process of splitting the array is called partitioning, and the Quicksort algorithm is then applied to the sub-arrays resulting from this partitioning.",
73.0,"If we were to split off only one item at a time, Quicksort would have n recursive calls, where n is the number of items in the array. If, on the other hand, we halve the array at each stage, it would only need log2 n recursive calls. This can be made clear by drawing a binary tree whose nodes are labelled by the sub-arrays that have been split off at each stage, and measuring its height. Ideally then, we would like to get two sub-arrays of roughly equal size (namely half of the given array) since that is the most efficient way of doing this. Of course, that depends on choosing a good pivot.",73.1,"How many recursive calls does Quicksort typically require, and why?","Quicksort typically requires n recursive calls, where n is the number of items in the array. This is because at each stage, the array is split into two sub-arrays, resulting in a binary tree structure with a height of log2 n.",
,,73.2,Why is it ideal to split the array into two sub-arrays of roughly equal size in Quicksort?,"Splitting the array into two sub-arrays of roughly equal size is ideal because it leads to the most efficient partitioning. This ensures balanced recursive calls, which helps maintain a time complexity of O(nlogn)",
74.0,"Choosing the pivot. If we get the pivot ÃÂÃÂÃÂÃÂjust rightÃÂÃÂÃÂÃÂ (e.g., choosing 5 in the above example), then the split will be as even as possible. Unfortunately, there is no quick guaranteed way of finding the optimal pivot. If the keys are integers, one could take the average value of all the keys, but that requires visiting all the entries to sample their key, adding considerable overhead to the algorithm, and if the keys are more complicated, such as strings, you cannot do this at all. More importantly, it would not necessarily give a pivot that is a value in the array. Some sensible heuristic pivot choice strategies are: ÃÂÃÂÃÂÃÂ Use a random number generator to produce an index k and then use a[k]. ÃÂÃÂÃÂÃÂ Take a key from ÃÂÃÂÃÂÃÂthe middleÃÂÃÂÃÂÃÂ of the array, that is a[(n-1)/2]. ÃÂÃÂÃÂÃÂ Take a small sample (e.g., 3 or 5 items) and take the ÃÂÃÂÃÂÃÂmiddleÃÂÃÂÃÂÃÂ key of those.",74.1,Why is choosing the pivot crucial in the Quicksort algorithm?,"Choosing the pivot is crucial because it determines the efficiency of the splitting process. A well-chosen pivot leads to balanced sub-arrays, resulting in optimal performance, while a poorly chosen pivot can lead to uneven splits and degraded performance.",
75.0,"Note that one should never simply choose the first or last key in the array as the pivot, because if the array is almost sorted already, that will lead to the particularly bad choice mentioned above, and this situation is actually quite common in practice.",75.1,Why is it crucial to avoid choosing the first or last key in the array as the pivot in Quicksort?,"Choosing the first or last key can lead to unbalanced splits, especially if the array is almost sorted, significantly degrading Quicksort's performance.",
76.0,"The partitioning. In order to carry out the partitioning within the given array, some thought is required as to how this may be best achieved. This is more easily demonstrated by an example than put into words. For a change, we will consider an array of strings, namely the programming languages: [c, fortran, java, ada, pascal, basic, haskell, ocaml]. The ordering we choose is the standard lexicographic one, and let the chosen pivot be ÃÂÃÂÃÂÃÂfortranÃÂÃÂÃÂÃÂ.",76.1,How is partitioning carried out in Quicksort?,"Partitioning involves rearranging the array so that all elements less than or equal to the chosen pivot are placed before it, and all elements greater than or equal to the pivot are placed after it.",
77.0,"We will use markers | to denote a partition of the array. To the left of the left marker, there will be items we know to have a key smaller than or equal to the pivot. To the right of the right marker, there will be items we know to have a key bigger than or equal to the pivot. In the middle, there will be the items we have not yet considered. Note that this algorithm proceeds to investigate the items in the array from two sides.",77.1,How are markers denoted in the Quicksort algorithm?,Markers are denoted using the symbol | in Quicksort.,
78.0,"Complexity of Quicksort. Once again we shall determine complexity based on the number of comparisons performed. The partitioning step compares each of n items against the pivot, and therefore has complexity O(n). Clearly, some partition and pivot choice algorithms are less efficient than others, like partition2 involving more copying of items than partition, but that does not generally affect the overall complexity class.",78.1,How is the complexity of Quicksort determined?,"The complexity of Quicksort is primarily based on the number of comparisons performed during the partitioning step, which is O(n).",
,,78.2,What is the time complexity of the partitioning step in Quicksort?,"The partitioning step in Quicksort has a time complexity of O(n), where n is the number of items in the array.",
79.0,"More interesting and important is how well Quicksort does in the average case. However, that is much harder to analyze exactly. The strategy for choosing a pivot at each stage affects that, though as long as it avoids the problems outlined above, that does not change the complexity class. It also makes a difference whether there can be duplicate values, but again that doesnÃÂÃÂÃÂÃÂt change the complexity class. In the end, all reasonable variations involve comparing O(n) items against a pivot, for each of O(log2 n) recursions, so the total number of comparisons, and hence the overall time complexity, in the average case is O(nlog2 n).",79.1,What is the average-case time complexity of Quicksort?,O(nlog2 n),
80.0,"Improving Quicksort. It is always worthwhile spending some time optimizing the strategy for defining the pivot, since the particular problem in question might well allow for a more refined approach. Generally, the pivot will be better if more items are sampled before it is being chosen. For example, one could check several randomly chosen items and take the ÃÂÃÂÃÂÃÂmiddleÃÂÃÂÃÂÃÂ one of those, the so called median. Note that in order to find the median of all the items, without sorting them first, we would end up having to make n^2 comparisons, so we cannot do that without making Quicksort unattractively slow.",80.1,Why is it important to optimize the strategy for choosing the pivot in Quicksort?,Optimizing the pivot selection strategy can significantly improve the performance of Quicksort by ensuring better partitioning and reducing the number of comparisons needed.,
,,80.2,What is a refined approach to choosing the pivot in Quicksort?,One approach is to sample several randomly chosen items and select the median value as the pivot. This helps to avoid worst-case scenarios and improves the overall efficiency of the algorithm.,
81.0,"Quicksort is rarely the most suitable algorithm if the problem size is small. The reason for this is all the overheads from the recursion (e.g., storing all the return addresses and formal parameters). Hence once the sub-problem become ÃÂÃÂÃÂÃÂsmallÃÂÃÂÃÂÃÂ (a size of 16 is often suggested in the literature), Quicksort should stop calling itself and instead sort the remaining sub-arrays using a simpler algorithm such as Selection Sort.",81.1,Why is Quicksort not the best choice for sorting small problem sizes?,"Quicksort incurs overhead from recursion and other operations, making it less efficient for small problem sizes.",
,,81.2,What is a common recommendation for when Quicksort should stop using recursion and switch to a simpler algorithm?,"It's often suggested that Quicksort switches to a simpler algorithm, like Selection Sort, when the sub-arrays reach a small size, typically around 16 items.",
82.0,"The other divide and conquer sorting strategy based on repeatedly splitting the array of items into two sub-arrays, mentioned in Section 9.11, is called mergesort. This simply splits the array at each stage into its first and last half, without any reordering of the items in it. However, that will obviously not result in a set of sorted sub-arrays that we can just append to each other at the end. So mergesort needs another procedure merge that merges two sorted sub-arrays into another sorted array. As with binary search in Section 4.4, integer variables left and right can be used to refer to the lower and upper index of the relevant array, and mid refers to the end of its left sub-array",82.1,What is the primary idea behind mergesort?,Mergesort repeatedly splits an array into two halves and then merges these sorted halves back together.,
,,82.2,"Why does mergesort require a separate procedure called ""merge""?","Mergesort needs the ""merge"" procedure to combine two sorted sub-arrays into a single sorted array.",
,,82.3,How are the sub-arrays identified and referred to in mergesort?,"The sub-arrays are identified using integer variables ""left"" and ""right"" to represent the lower and upper indices of the array, and ""mid"" to refer to the end of the left sub-array.",
83.0,"Note that it would be relatively simple to modify this mergesort algorithm to operate on linked lists (of known length) rather than arrays. To ÃÂÃÂÃÂÃÂsplitÃÂÃÂÃÂÃÂ such a list into two, all one has to do is set the pointer of the bn/2cth list entry to null, and use the previously-pointed-to next entry as the head of the new second list. Of course, care needs to be taken to keep the list size information intact, and effort is required to find the crucial pointer for each split.",83.1,How can mergesort be modified to operate on linked lists? ,"To operate on linked lists, one can split the list by setting the pointer of the middle node to null and using the previously-pointed-to next entry as the head of the new second list.",
,,83.2,What precaution should be taken when splitting a linked list in mergesort?,Care needs to be taken to keep the list size information intact and effort is required to find the crucial pointer for each split.,
84.0,"The merge algorithm. The principle of merging two sorted collections (whether they be lists, arrays, or something else) is quite simple: Since they are sorted, it is clear that the smallest item overall must be either the smallest item in the first collection or the smallest item in the second collection. Let us assume it is the smallest key in the first collection. Now the second smallest item overall must be either the second-smallest item in the first collection, or the smallest item in the second collection, and so on. In other words, we just work through both collections and at each stage, the ÃÂÃÂÃÂÃÂnextÃÂÃÂÃÂÃÂ item is the current item in either the first or the second collection",84.1,What is the principle of merging two sorted collections in the merge algorithm?,"The principle is that the smallest item overall must be either the smallest item in the first collection or the smallest item in the second collection. Then, the second smallest item overall must be either the second-smallest item in the first collection or the smallest item in the second collection, and so on.",
,,84.2,How does the merge algorithm proceed?,"The algorithm works through both collections, selecting the next item from either the first or the second collection at each stage.",
85.0,"The implementation will be quite different, however, depending on which data structure we are using. When arrays are used, it is actually necessary for the merge algorithm to create a new array to hold the result of the operation at least temporarily. In contrast, when using linked lists, it would be possible for merge to work by just changing the reference to the next node.",85.1,What principle governs the merging of two sorted collections?,The principle is that the smallest item overall must be either the smallest item in the first collection or the smallest item in the second collection.,
,,85.2,How does the implementation of the merge algorithm differ based on the data structure used?,"When arrays are used, the merge algorithm needs to create a new array to hold the result temporarily. In contrast, when using linked lists, merge can work by just changing the reference to the next node.",
86.0,"Complexity of Mergesort. The total number of comparisons needed at each recursion level of mergesort is the number of items needing merging which is O(n), and the number of recursions needed to get to the single item level is O(log2 n), so the total number of comparisons and its time complexity are O(nlog2 n). This holds for the worst case as well as the average case. Like Quicksort, it is possible to speed up mergesort by abandoning the recursive algorithm when the sizes of the sub-collections become small. For arrays, 16 would once again be a suitable size to switch to an algorithm like Selection Sort.",86.1,What is the time complexity of Mergesort?,O(nlog2 n),
,,86.2,How does Mergesort's time complexity change with the size of the input?,"Mergesort maintains a time complexity of O(nlog2 n) regardless of the size of the input, making it efficient for large datasets.",
,,86.3,How can Mergesort be optimized to improve its performance?,"Mergesort can be optimized by switching to a simpler sorting algorithm, such as Selection Sort, when the sizes of the sub-collections become small, typically around 16 items.",
87.0,"Note that, with Mergesort, for the special case when only the largest/smallest m  n items need to be found and sorted, rather than all n, there is no way to reduce the time complexity in the way it was possible with Heapsort and Quicksort. This is because the ordering of the required items only emerges at the very last stage after the large majority of the comparisons have already been carried out.",87.1,Why is it not possible to reduce the time complexity of Mergesort for sorting a subset of items?,"Mergesort performs comparisons across the entire dataset as part of its sorting algorithm. Even if only a subset of items needs to be sorted, the algorithm still needs to evaluate all items to determine their relative order, leading to the same time complexity.",
88.0,"Bin, Bucket, and Radix Sorts are all names for essentially the same non-comparison-based sorting algorithm that works well when the items are labelled by small sets of values. For example, suppose you are given a number of dates, by day and month, and need to sort them into order. One way of doing this would be to create a queue for each day, and place the items (dates) one at a time into the right queue according to their day (without sorting them further). Then form one big queue out of these, by concatenating all the day queues starting with day 1 and continuing up to day 31. Then for the second phase, create a queue for each month, and place the dates into the right queues in the order that they appear in the queue created by the first phase. Again form a big queue by concatenating these month queues in order",88.1,"What are Bin, Bucket, and Radix Sorts?","Bin, Bucket, and Radix Sorts are non-comparison-based sorting algorithms suitable for sorting items labeled with small sets of values.",
89.0,"The extension of this idea to give a general sorting algorithm should be obvious: For each phase, create an ordered set of queues corresponding to the possible values, then add each item in the order they appear to the end of the relevant queue, and finally concatenate the the queues in order. Repeat this process for each sorting criterion. The crucial additional detail is that the queuing phases must be performed in the order of the significance of each criteria, with the least significant criteria first.",89.1,"What is the key principle behind extending the idea of Bin, Bucket, and Radix Sorts to create a general sorting algorithm?","What is the key principle behind extending the idea of Bin, Bucket, and Radix Sorts to create a general sorting algorithm?",
90.0,"Note that at no point, does the the algorithm actually compare any items at all. This kind of algorithm makes use of the fact that for each phase the items are from a strictly restricted set, or, in other words, the items are of a particular form which is known a priori. The complexity class of this algorithm is O(n), since at every phase, each item is dealt with precisely once, and the number of phases is assumed to be small and constant. If the restricted sets are small, the number of operations involved in finding the right queue for each item and placing it at the end of it will be small, but this could become significant if the sets are large. The concatenation of the queues will involve some overheads, of course, but these will be small if the sets are small and linked lists, rather than arrays, are used. One has to be careful, however, because if the total number of operations for each item exceeds log2 n, then the overall complexity is likely to be greater than the O(nlog2 n) complexity of the more efficient comparison-based algorithms. Also, if the restricted sets are not known in advance, and potentially large, the overheads of finding and sorting them could render Radix sort worse than using a comparison-based approach. Once again, it is the responsibility of the program designer to decide whether a given problem can be solved more efficiently with Radix Sort rather than a comparison-based sort.",90.1,What is the complexity class of Radix Sort?,"The complexity class of Radix Sort is O(n), as each item is processed precisely once during each phase, and the number of phases is assumed to be small and constant.",
,,90.2,What factors affect the efficiency of Radix Sort?,"Factors affecting the efficiency of Radix Sort include the size of the restricted sets used in each phase, the method of concatenating queues, and whether the sets are known in advance",
91.0,"We have already seen a number of different ways of storing items in a computer: arrays and variants thereof (e.g., sorted and unsorted arrays, heap trees), linked lists (e.g., queues, stacks), and trees (e.g., binary search trees, heap trees). We have also seen that these approaches can perform quite differently when it comes to the particular tasks we expect to carry out on the items, such as insertion, deletion and searching, and that the best way of storing data does not exist in general, but depends on the particular application",91.1,What are some of the ways items can be stored in a computer?,"Items can be stored in a computer using arrays (sorted and unsorted), linked lists (queues, stacks), and trees (binary search trees, heap trees), among others.",
,,91.2,"How do different storage methods perform when it comes to tasks like insertion, deletion, and searching?","Different storage methods perform differently depending on the task. For example, arrays are efficient for random access but can be slow for insertion and deletion, while linked lists excel at insertion and deletion but may be slower for searching. Trees offer efficient searching but may have higher overhead. The best storage method depends on the specific application and its requirements.",
92.0,"This chapter looks at another way of storing data, that is quite different from the ones we have seen so far. The idea is to simply put each item in an easily determined location, so we never need to search for it, and have no ordering to maintain when inserting or deleting items. This has impressive performance as far as time is concerned, but that advantage is payed for by needing more space (i.e., memory), as well as by being more complicated and therefore harder to describe and implement.",92.1,What is the primary advantage of storing data in an easily determined location?,"Storing data in an easily determined location eliminates the need for searching, resulting in faster access times.",
93.0,"We first need to specify what we expect to be able to do with this way of storing data, without considering how it is actually implemented. In other words, we need to outline an abstract data type. This is similar to what you will generally do when first trying to implement a class in Java: You should think about the operations you wish to perform on the objects of that class. You may also want to specify a few variables that you know will definitely be needed for that class, but this does not usually come into defining an abstract data type. The approach we have been following for defining abstract data types in these notes is by describing the crucial operations in plain English, trusting that they are simple enough to not need further explanations. In general, what is needed is a specification for the abstract data type in question. An important aspect of studying software engineering is to learn about and use more formal approaches to this way of operating.",93.1,What is the first step in defining an abstract data type?,The first step is to outline the operations that we expect to perform on the objects of that data type.,
,,93.2,How is defining an abstract data type similar to implementing a class in Java?,"In both cases, we need to think about the operations we want to perform and the variables needed, although in abstract data types, implementation details are abstracted away",
,,93.3,Why is it important to specify an abstract data type?,"Specifying an abstract data type helps clarify what operations are supported and how they behave, providing a clear understanding of how to use the data structure.",
94.0,"Implementation via sorted arrays. Let us assume that we want to implement the table data structure using a sorted array. Whether it is full or empty can easily be determined in constant time if we have a variable for the size. Then to insert an element we first have to find its proper position, which will take on average the same time as finding an element. To find an element (which is necessary for all other operations apart from traversal), we can use binary search as described in in Section 4.4, so this takes O(log2 n). This is also the complexity for retrieval and update. However, if we wish to delete or insert an item, we will have to shift what is ÃÂÃÂÃÂÃÂto the rightÃÂÃÂÃÂÃÂ of the location in question by one, either to the left (for deletion) or to the right (for insertion). This will take on average n/2 steps, so these operations have O(n) complexity. Traversal in order is simple, and is of O(n) complexity as well.",94.1,What is the advantage of using a sorted array to implement the table data structure?,"Determining if the array is full or empty can be done in constant time, and finding an element, retrieval, and update operations have a time complexity of O(log2 n) using binary search.",
,,94.2,What is the time complexity for insertion and deletion operations in a sorted array implementation?,Insertion and deletion operations have a time complexity of O(n) because shifting elements to the right or left may require moving half of the elements on average.,
,,94.3,How does traversal in order perform in a sorted array implementation?,Traversal in order also has a time complexity of O(n) because all elements need to be visited once to traverse the array.,
95.0,"Implementation via binary search trees A possible alternative implementation would involve using binary search trees. However, we know already that in the worst case, the tree can be very deep and narrow, and that these trees will have linear complexity when it comes to looking up an entry. We have seen that there is a variant of binary search trees which keeps the worst case the same as the average case, the so-called self-balancing binary search tree, but that is more complicated to both understand and program. For those trees, insertion, deletion, search, retrieval and update, can all be done with time complexity O(log2 n), and traversal has O(n) complexity.",95.1,What is a potential downside of using binary search trees for implementing the table data structure?,"In the worst case, binary search trees can become very deep and narrow, leading to linear complexity for lookup operations.",
,,95.2,How can the issue of worst-case performance be addressed in binary search trees?,"Using self-balancing binary search trees can mitigate the issue by keeping the worst-case complexity the same as the average case. However, these trees are more complex to understand and implement.",
,,95.3,How can the issue of worst-case performance be addressed in binary search trees?,"In self-balancing binary search trees, all these operations can be performed with a time complexity of O(log2 n). Traversal still has a complexity of O(n).",
96.0,"Implementation via Hash tables The idea here is that, at the expense of using more space than strictly needed, we can speed up the table operations. The remainder of this chapter will describe how this is done, and what the various computational costs are.",96.1,What is the primary goal of implementing a table data structure using hash tables?,"The primary goal is to speed up table operations, even at the expense of using more space than strictly needed.",
97.0,"The underlying idea of a hash table is very simple, and quite appealing: Assume that, given a key, there was a way of jumping straight to the entry for that key. Then we would never have to search at all, we could just go there! Of course, we still have to work out a way for that to be achieved. Assume that we have an array data to hold our entries. Now if we had a function h(k) that maps each key k to the index (an integer) where the associated entry will be stored, then we could just look up data[h(k)] to find the entry with the key k.",97.1,What is the underlying idea of a hash table?,"The underlying idea is to have a function that maps each key to an index in an array where the associated entry will be stored, allowing for direct access to entries without the need for searching.",
,,97.2,How does the concept of a hash table simplify the process of searching for entries?,"With a hash table, instead of searching through the data structure for a specific key, the key is used to compute an index directly where the associated entry is stored, greatly reducing the time needed to retrieve entries.",
98.0,"Implications for hash tables. If 23 random locations in a table of size 365 have more than a 50% chance of overlapping, it seems inevitable that collisions will occur in any hash table that does not waste an enormous amount of memory. And collisions will be even more likely if the hash function does not distribute the items randomly throughout the table. To compute the computational efficiency of a hash table, we need some way of quantifying how full the table is, so we can compute the probability of collisions, and hence determine how much effort will be required to deal with them.",98.1,What is one implication for hash tables if many random locations in the table have a high chance of overlapping?,It implies that collisions are likely to occur in the hash table unless a significant amount of memory is allocated to avoid them.,
,,98.2,Why is it important to quantify how full the hash table is?,Quantifying the fullness of the hash table helps in determining the probability of collisions. This information is crucial for evaluating the computational efficiency of the hash table and estimating the effort required to handle collisions.,
99.0,"The load factor of a hash table. Suppose we have a hash table of size m, and it currently has n entries. Then we call ? = n/m the load factor of the hash table. This load factor is the obvious way of describing how full the table currently is: A hash table with load factor 0.25 is 25% full, one with load factor 0.50 is 50% full, and so on. Then if we have a hash table with load factor ?, the probability that a collision occurs for the next key we wish to insert is ?. This assumes that each key from the key space is equally likely, and that the hash function h spreads the key space evenly over the set of indices of our array. If these optimistic assumptions fail, then the probability may be even higher.",99.1,What is the load factor of a hash table?,"The load factor of a hash table, denoted by ?, is the ratio of the number of entries in the table to the size of the table.",
,,99.2,How is the load factor used to describe the fullness of a hash table?,The load factor provides a measure of how full the hash table is.,
,,99.3,What is the relationship between the load factor and the probability of collision in a hash table?,The probability of a collision occurring for the next key to be inserted is equal to the load factor of the hash table,
